workclass,education,age,gender
 Private, Some-college,36, Male
 Private, HS-grad,26, Female
 Private, Bachelors,23, Male
 Private, Bachelors,39, Male
 Self-emp-not-inc, Prof-school,40, Male
 Private, Bachelors,29, Male
 Private, Bachelors,38, Male
 Private, Bachelors,63, Male
 Self-emp-not-inc, HS-grad,58, Male
 Private, HS-grad,30, Female
 State-gov, HS-grad,38, Female
 Private, 5th-6th,25, Female
 State-gov, Masters,44, Male
 Private, Assoc-voc,43, Female
 Private, Some-college,21, Male
 Local-gov, Assoc-acdm,41, Male
 Private, Bachelors,38, Male
 ?, Bachelors,75, Male
 Private, Some-college,29, Male
 Self-emp-not-inc, HS-grad,52, Male
 Private, HS-grad,47, Female
 Private, Assoc-voc,28, Male
 Private, Some-college,24, Female
 State-gov, Masters,30, Male
 Private, Some-college,30, Male
 Private, Assoc-acdm,40, Male
 Private, Some-college,27, Female
 Private, HS-grad,26, Male
 Private, HS-grad,32, Male
 State-gov, Bachelors,36, Female
 Private, 12th,26, Male
 Private, Some-college,25, Male
 Private, Some-college,39, Female
 Private, Assoc-voc,27, Male
 Private, HS-grad,24, Male
 Self-emp-inc, Bachelors,38, Male
 Self-emp-not-inc, HS-grad,35, Male
 Private, Assoc-voc,29, Male
 Private, HS-grad,49, Female
 Private, 9th,36, Male
 Self-emp-not-inc, Doctorate,47, Male
 Private, Some-college,21, Male
 Private, Bachelors,35, Female
 Private, 1st-4th,38, Male
 ?, Some-college,66, Male
 Private, Masters,45, Male
 Private, Some-college,19, Female
 Private, HS-grad,18, Male
 Private, Prof-school,37, Male
 Private, Bachelors,49, Female
 Local-gov, Assoc-voc,33, Male
 Private, Some-college,27, Male
 Local-gov, Some-college,34, Female
 State-gov, Masters,54, Female
 Self-emp-inc, Some-college,24, Male
 Self-emp-not-inc, Prof-school,44, Male
 Self-emp-not-inc, Bachelors,48, Male
 Private, HS-grad,23, Female
 Private, HS-grad,29, Male
 Private, Assoc-acdm,21, Female
 Private, 12th,18, Female
 Private, 9th,18, Female
 Private, HS-grad,29, Male
 Private, HS-grad,29, Male
 Private, HS-grad,41, Female
 Private, HS-grad,32, Male
 Private, 10th,61, Female
 Private, HS-grad,79, Male
 Private, Assoc-acdm,34, Male
 Private, Bachelors,46, Male
 Self-emp-not-inc, Assoc-voc,50, Male
 Private, HS-grad,29, Male
 Private, Some-college,23, Female
 Private, Some-college,64, Female
 Local-gov, Masters,70, Female
 Local-gov, Assoc-acdm,28, Female
 Private, Assoc-voc,51, Male
 ?, Some-college,20, Female
 State-gov, Bachelors,34, Male
 Private, HS-grad,29, Male
 Private, Bachelors,49, Male
 Self-emp-inc, Some-college,77, Male
 Private, HS-grad,32, Female
 Private, Bachelors,27, Female
 Private, Some-college,22, Female
 Local-gov, HS-grad,35, Male
 Local-gov, Bachelors,42, Male
 State-gov, HS-grad,35, Male
 ?, HS-grad,62, Male
 Private, HS-grad,33, Male
 Private, Some-college,45, Female
 Private, Some-college,19, Female
 Private, HS-grad,38, Male
 Private, HS-grad,26, Male
 Private, Bachelors,29, Female
 Private, Bachelors,33, Male
 Self-emp-not-inc, HS-grad,35, Male
 Private, Some-college,42, Male
 Private, Assoc-voc,20, Female
 Federal-gov, Masters,43, Male
 Private, 11th,69, Male
 Private, HS-grad,39, Male
 Private, HS-grad,37, Male
 Private, Some-college,28, Male
 Federal-gov, Bachelors,26, Male
 Private, Some-college,32, Male
 Federal-gov, Bachelors,43, Male
 Private, HS-grad,49, Male
 Private, 7th-8th,28, Male
 Private, HS-grad,35, Male
 ?, Some-college,19, Female
 Local-gov, HS-grad,35, Male
 Private, HS-grad,57, Female
 Private, 9th,45, Male
 Private, HS-grad,23, Male
 Private, HS-grad,45, Male
 Private, HS-grad,42, Female
 Private, Bachelors,35, Male
 Private, Bachelors,45, Male
 Federal-gov, Bachelors,28, Male
 Self-emp-inc, Assoc-voc,64, Male
 Local-gov, Prof-school,44, Female
 Self-emp-not-inc, HS-grad,59, Male
 Private, HS-grad,41, Male
 Private, Some-college,21, Male
 Self-emp-not-inc, Assoc-voc,29, Female
 Self-emp-not-inc, HS-grad,51, Male
 Private, HS-grad,22, Male
 Private, HS-grad,49, Female
 Private, Assoc-acdm,53, Male
 Private, Some-college,38, Female
 Private, Some-college,23, Male
 Private, HS-grad,20, Female
 Private, Bachelors,40, Female
 Private, Bachelors,25, Female
 Private, Some-college,27, Female
 Private, HS-grad,20, Male
 Private, HS-grad,37, Female
 Local-gov, HS-grad,40, Male
 Private, Bachelors,28, Male
 Self-emp-not-inc, HS-grad,38, Female
 Private, Bachelors,42, Female
 Federal-gov, Assoc-acdm,32, Male
 Private, HS-grad,20, Male
 State-gov, Bachelors,62, Male
 Private, Some-college,31, Male
 Self-emp-not-inc, HS-grad,31, Male
 Private, HS-grad,24, Male
 Local-gov, 7th-8th,62, Female
 Local-gov, Some-college,43, Male
 Private, Some-college,21, Male
 Self-emp-inc, HS-grad,30, Male
 ?, HS-grad,22, Female
 Private, 10th,18, Male
 Local-gov, Masters,59, Female
 Self-emp-not-inc, 7th-8th,24, Male
 Private, HS-grad,49, Male
 State-gov, 11th,19, Male
 Private, HS-grad,48, Male
 Private, Prof-school,32, Male
 Private, 10th,33, Female
 Private, Bachelors,23, Male
 Federal-gov, Prof-school,33, Female
 Federal-gov, Some-college,50, Male
 Private, Bachelors,30, Male
 Private, Assoc-acdm,32, Male
 Private, Some-college,39, Male
 Private, Some-college,21, Female
 Private, Bachelors,23, Female
 Private, Bachelors,32, Female
 Private, HS-grad,57, Male
 State-gov, Some-college,22, Male
 Private, HS-grad,70, Female
 Private, Some-college,34, Male
 Private, Masters,53, Female
 Private, Some-college,21, Male
 Private, HS-grad,37, Male
 Self-emp-not-inc, HS-grad,60, Male
 Private, 11th,23, Male
 Private, 10th,32, Male
 Private, HS-grad,57, Male
 ?, HS-grad,65, Male
 Private, Some-college,25, Male
 Private, HS-grad,30, Male
 Private, HS-grad,31, Female
 Private, Some-college,19, Male
 State-gov, Bachelors,23, Male
 Private, HS-grad,44, Male
 ?, Some-college,43, Male
 Private, Some-college,42, Female
 Self-emp-not-inc, 11th,34, Male
 Private, HS-grad,32, Male
 Private, Assoc-voc,25, Female
 Private, Some-college,21, Female
 Private, HS-grad,31, Female
 Local-gov, Assoc-voc,36, Female
 Self-emp-not-inc, Some-college,49, Male
 Private, Bachelors,44, Female
 Private, Assoc-voc,42, Male
 Private, HS-grad,30, Male
 Private, 10th,33, Male
 Self-emp-not-inc, Bachelors,36, Male
 Private, 10th,17, Male
 Private, Some-college,20, Male
 Private, HS-grad,32, Male
 Self-emp-not-inc, HS-grad,33, Male
 Private, Some-college,37, Female
 Private, 10th,60, Male
 State-gov, Some-college,35, Female
 Federal-gov, Bachelors,43, Female
 Private, Some-college,46, Male
 Self-emp-not-inc, HS-grad,29, Male
 Private, Bachelors,36, Male
 Private, HS-grad,27, Male
 Private, Some-college,50, Male
 Private, Some-college,22, Female
 State-gov, Masters,33, Male
 Private, 10th,61, Female
 ?, Assoc-voc,28, Female
 Self-emp-not-inc, Assoc-voc,41, Male
 Private, Some-college,22, Male
 Private, Bachelors,27, Female
 Private, HS-grad,25, Male
 Private, HS-grad,32, Female
 Private, Masters,28, Male
 Private, Bachelors,25, Male
 Private, Some-college,28, Male
 Local-gov, Bachelors,37, Female
 Private, HS-grad,58, Female
 Private, HS-grad,39, Male
 Private, Some-college,33, Female
 Private, 10th,59, Male
 Private, Bachelors,58, Female
 Private, Assoc-voc,38, Male
 Private, Some-college,34, Male
 Private, Some-college,31, Male
 Local-gov, HS-grad,48, Male
 ?, HS-grad,65, Male
 Private, HS-grad,45, Male
 ?, Prof-school,80, Male
 Private, HS-grad,23, Female
 Private, Masters,33, Male
 Self-emp-not-inc, Some-college,38, Male
 Self-emp-not-inc, Masters,44, Male
 Local-gov, Masters,48, Female
 State-gov, HS-grad,40, Male
 Local-gov, HS-grad,19, Female
 Private, Bachelors,45, Female
 Private, Some-college,34, Female
 Private, Some-college,70, Male
 Local-gov, Masters,32, Male
 Private, Assoc-voc,33, Female
 Private, Bachelors,24, Female
 Local-gov, Bachelors,30, Female
 Private, Some-college,22, Male
 Self-emp-inc, Prof-school,52, Male
 Self-emp-not-inc, 10th,67, Male
 Private, HS-grad,40, Male
 Private, Assoc-voc,55, Female
 Private, HS-grad,29, Female
 Private, HS-grad,62, Male
 Private, HS-grad,22, Female
 State-gov, 9th,64, Male
 Self-emp-not-inc, Bachelors,29, Male
 Private, Some-college,28, Male
 Private, HS-grad,25, Male
 State-gov, Doctorate,47, Male
 Private, Bachelors,26, Male
 Private, 12th,18, Male
 Self-emp-inc, 10th,52, Male
 Local-gov, Bachelors,48, Female
 Private, HS-grad,36, Male
 Private, Assoc-voc,23, Female
 Private, HS-grad,41, Male
 State-gov, HS-grad,56, Male
 Private, HS-grad,53, Male
 Private, Some-college,26, Female
 Private, Some-college,22, Male
 Private, Masters,25, Female
 Private, Some-college,31, Male
 Private, Assoc-acdm,36, Male
 Private, Some-college,46, Male
 State-gov, Assoc-acdm,46, Male
 Private, Some-college,32, Female
 Self-emp-not-inc, HS-grad,43, Male
 Private, Bachelors,30, Male
 Self-emp-inc, Bachelors,41, Male
 Private, Masters,50, Male
 State-gov, Masters,37, Male
 Local-gov, HS-grad,22, Male
 Federal-gov, HS-grad,51, Male
 Private, Some-college,47, Female
 Private, HS-grad,40, Male
 Private, Some-college,46, Male
 ?, Some-college,23, Female
 Private, Some-college,30, Female
 Self-emp-not-inc, HS-grad,27, Male
 Local-gov, Some-college,31, Female
 Private, 1st-4th,31, Male
 Private, HS-grad,30, Male
 Local-gov, Bachelors,50, Male
 Private, Bachelors,27, Female
 ?, Some-college,22, Female
 Private, HS-grad,29, Male
 Private, HS-grad,28, Male
 Private, Bachelors,54, Female
 State-gov, Assoc-voc,47, Male
 Private, HS-grad,34, Female
 Private, Some-college,26, Male
 ?, 7th-8th,53, Male
 State-gov, Some-college,23, Male
 Local-gov, Masters,42, Male
 Self-emp-not-inc, HS-grad,36, Male
 Federal-gov, Bachelors,52, Male
 ?, Some-college,22, Female
 Local-gov, Masters,27, Female
 Private, HS-grad,42, Female
 Private, HS-grad,39, Female
 State-gov, HS-grad,49, Male
 Private, HS-grad,36, Male
 Private, Preschool,20, Male
 Self-emp-inc, HS-grad,55, Male
 Private, 9th,47, Male
 Private, Masters,33, Male
 Private, Some-college,36, Male
 Private, Doctorate,39, Female
 Private, Bachelors,55, Male
 ?, Assoc-acdm,21, Male
 Private, Assoc-acdm,48, Male
 Private, Assoc-voc,30, Male
 Private, HS-grad,24, Male
 Self-emp-not-inc, HS-grad,57, Female
 Private, Some-college,20, Male
 ?, Some-college,18, Female
 Private, HS-grad,56, Female
 Private, HS-grad,36, Female
 Private, 10th,44, Male
 Private, HS-grad,57, Male
 Private, HS-grad,57, Male
 Private, HS-grad,33, Male
 ?, 7th-8th,61, Male
 Private, Bachelors,39, Male
 Private, HS-grad,28, Male
 Private, Some-college,31, Male
 Private, Assoc-acdm,60, Female
 Local-gov, Assoc-voc,36, Male
 Private, HS-grad,58, Female
 Private, Some-college,50, Male
 Local-gov, Bachelors,23, Female
 Private, HS-grad,30, Male
 ?, 11th,20, Male
 Private, Prof-school,90, Male
 Local-gov, Bachelors,49, Female
 Local-gov, Bachelors,47, Male
 Private, Doctorate,34, Male
 Federal-gov, HS-grad,37, Female
 Private, 10th,25, Female
 Private, Assoc-acdm,37, Female
 Private, HS-grad,47, Male
 Private, HS-grad,34, Male
 Private, Some-college,34, Male
 Private, HS-grad,35, Male
 Private, Some-college,39, Male
 State-gov, 7th-8th,32, Male
 Private, HS-grad,24, Female
 Private, Prof-school,28, Male
 Self-emp-not-inc, 7th-8th,41, Male
 ?, HS-grad,69, Female
 Private, HS-grad,32, Male
 Private, HS-grad,58, Female
 Self-emp-not-inc, HS-grad,47, Male
 Private, Bachelors,41, Male
 Self-emp-inc, HS-grad,35, Male
 Private, Some-college,24, Male
 Self-emp-not-inc, HS-grad,46, Male
 Self-emp-inc, Bachelors,69, Male
 Private, Bachelors,22, Female
 State-gov, Masters,36, Female
 Private, Bachelors,31, Male
 Local-gov, Bachelors,23, Male
 Private, Some-college,35, Female
 Local-gov, Bachelors,37, Male
 State-gov, Bachelors,35, Female
 Private, 11th,18, Male
 Private, 9th,43, Female
 State-gov, HS-grad,53, Male
 Local-gov, Some-college,54, Male
 Private, HS-grad,29, Female
 Private, Assoc-acdm,46, Female
 Private, Some-college,24, Male
 Private, Some-college,30, Female
 Private, Some-college,23, Female
 ?, Bachelors,27, Female
 Private, HS-grad,36, Male
 Self-emp-not-inc, Bachelors,38, Male
 Private, Masters,33, Male
 Private, Some-college,66, Male
 Self-emp-not-inc, HS-grad,45, Male
 ?, HS-grad,68, Female
 Private, HS-grad,37, Male
 Private, 10th,17, Female
 Private, HS-grad,31, Male
 Private, Bachelors,46, Male
 Private, Bachelors,40, Male
 Private, Some-college,34, Male
 Private, 10th,56, Male
 Private, Some-college,42, Female
 Private, Masters,46, Male
 Private, HS-grad,30, Male
 Self-emp-not-inc, Bachelors,33, Male
 Private, HS-grad,47, Female
 Self-emp-not-inc, Assoc-acdm,57, Male
 Private, 11th,34, Male
 Private, HS-grad,40, Male
 Private, HS-grad,33, Male
 Private, HS-grad,22, Male
 Private, 12th,29, Female
 Federal-gov, HS-grad,53, Female
 Private, HS-grad,36, Female
 Private, HS-grad,45, Male
 Private, Some-college,36, Female
 Self-emp-not-inc, HS-grad,18, Male
 Private, HS-grad,27, Female
 Private, HS-grad,30, Male
 Private, Bachelors,34, Male
 Private, Bachelors,36, Male
 Self-emp-not-inc, 7th-8th,36, Male
 Private, Masters,48, Male
 Self-emp-not-inc, Prof-school,41, Male
 Private, 5th-6th,21, Female
 State-gov, Masters,47, Male
 Private, 1st-4th,41, Male
 Self-emp-not-inc, 1st-4th,61, Male
 Private, 7th-8th,64, Male
 Private, Some-college,35, Male
 Private, HS-grad,44, Male
 Private, Some-college,20, Female
 Local-gov, Some-college,23, Female
 Private, 10th,52, Female
 Private, Masters,43, Female
 Private, Bachelors,32, Male
 Private, Bachelors,63, Male
 Private, Some-college,29, Female
 Self-emp-inc, Some-college,42, Male
 Private, 10th,65, Female
 Private, HS-grad,24, Male
 Private, Some-college,42, Female
 Private, HS-grad,35, Male
 Self-emp-inc, Bachelors,40, Male
 Federal-gov, Some-college,38, Female
 Private, HS-grad,26, Female
 Self-emp-not-inc, HS-grad,46, Male
 Private, Some-college,39, Female
 ?, Bachelors,29, Male
 Private, Doctorate,42, Male
 Private, Bachelors,36, Male
 Private, Some-college,26, Male
 Private, Bachelors,57, Male
 Private, HS-grad,55, Male
 Private, Some-college,35, Male
 Private, HS-grad,41, Female
 Private, Some-college,24, Female
 Private, HS-grad,47, Male
 Self-emp-inc, Some-college,34, Male
 Private, Bachelors,44, Male
 ?, HS-grad,18, Female
 Private, Bachelors,27, Male
 Private, Bachelors,36, Female
 Private, Bachelors,21, Male
 Private, HS-grad,29, Male
 Private, HS-grad,25, Male
 Private, HS-grad,73, Male
 Private, Assoc-voc,45, Male
 Private, Bachelors,28, Female
 Private, Bachelors,43, Male
 Private, HS-grad,47, Male
 Private, Some-college,20, Female
 Private, Some-college,22, Male
 Self-emp-not-inc, 7th-8th,76, Male
 Private, Some-college,24, Male
 Self-emp-not-inc, Some-college,54, Male
 Private, Some-college,30, Male
 Private, Some-college,33, Male
 Private, Some-college,30, Male
 Private, Assoc-acdm,40, Male
 ?, Some-college,27, Male
 Private, Assoc-voc,49, Female
 Private, HS-grad,30, Male
 Private, HS-grad,22, Female
 Private, HS-grad,19, Male
 Private, HS-grad,46, Male
 Private, HS-grad,51, Male
 Private, 7th-8th,56, Female
 Private, Some-college,53, Female
 ?, Assoc-voc,60, Female
 Private, Bachelors,27, Female
 Private, Some-college,46, Female
 Private, HS-grad,37, Male
 Private, Bachelors,41, Male
 ?, Assoc-voc,65, Male
 Self-emp-not-inc, Some-college,30, Female
 Self-emp-not-inc, HS-grad,57, Male
 Self-emp-inc, Some-college,44, Male
 Self-emp-not-inc, HS-grad,32, Male
 Self-emp-not-inc, HS-grad,27, Male
 Local-gov, Some-college,57, Female
 Self-emp-not-inc, Bachelors,59, Male
 Private, Prof-school,32, Female
 ?, HS-grad,90, Female
 Private, Bachelors,22, Female
 Private, HS-grad,39, Female
 Private, Assoc-voc,43, Male
 Local-gov, Bachelors,38, Male
 Private, 9th,61, Male
 Private, Some-college,24, Male
 Private, Some-college,25, Male
 Private, Assoc-voc,44, Male
 Local-gov, HS-grad,55, Female
 Private, Bachelors,90, Male
 Private, HS-grad,30, Female
 Private, HS-grad,44, Male
 Private, 10th,36, Male
 Self-emp-inc, Some-college,63, Male
 Private, 5th-6th,60, Male
 Self-emp-not-inc, Prof-school,34, Female
 Self-emp-not-inc, 11th,49, Male
 Private, Masters,47, Male
 Self-emp-inc, HS-grad,42, Male
 Private, 5th-6th,53, Male
 Private, Some-college,23, Female
 ?, Assoc-voc,28, Female
 Private, Some-college,20, Male
 Private, HS-grad,43, Male
 Private, Prof-school,32, Male
 Private, Bachelors,43, Male
 Private, HS-grad,31, Male
 ?, HS-grad,29, Female
 Private, Some-college,24, Male
 Private, Assoc-voc,39, Male
 Private, Some-college,29, Male
 Private, 5th-6th,20, Male
 ?, Some-college,23, Male
 Private, 11th,42, Female
 Private, HS-grad,53, Male
 Private, HS-grad,20, Male
 Self-emp-not-inc, 1st-4th,58, Male
 Self-emp-not-inc, HS-grad,51, Male
 Private, HS-grad,25, Male
 Private, Assoc-acdm,38, Female
 Private, Some-college,41, Male
 Private, Bachelors,58, Male
 Private, 10th,25, Male
 Private, HS-grad,50, Male
 Private, Bachelors,32, Male
 Self-emp-inc, Doctorate,31, Male
 Private, Some-college,22, Female
 Private, HS-grad,37, Male
 Private, Some-college,32, Female
 State-gov, Prof-school,46, Female
 Private, HS-grad,62, Male
 Local-gov, HS-grad,40, Male
 Private, Bachelors,56, Male
 Private, Some-college,37, Female
 Private, 1st-4th,41, Male
 Private, 7th-8th,56, Male
 Private, Some-college,20, Male
 Self-emp-not-inc, Bachelors,34, Male
 Private, HS-grad,45, Male
 Private, Some-college,30, Male
 Self-emp-not-inc, HS-grad,51, Male
 Private, 11th,27, Male
 Private, Assoc-voc,38, Male
 Private, Some-college,39, Male
 ?, Bachelors,57, Male
 Private, Some-college,47, Male
 ?, HS-grad,77, Male
 Private, HS-grad,43, Male
 Local-gov, HS-grad,46, Male
 Private, Some-college,41, Male
 Private, HS-grad,20, Female
 State-gov, 10th,30, Male
 Private, HS-grad,30, Male
 Private, Some-college,22, Male
 Private, HS-grad,25, Male
 Private, HS-grad,18, Female
 Private, Bachelors,28, Female
 Private, Bachelors,50, Male
 Private, HS-grad,28, Female
 Private, Some-college,21, Female
 Private, Assoc-voc,37, Male
 Federal-gov, Bachelors,28, Female
 Private, 5th-6th,23, Male
 Private, Assoc-voc,32, Female
 Private, 12th,27, Male
 Private, HS-grad,55, Female
 Private, HS-grad,44, Male
 Private, Bachelors,25, Male
 Private, HS-grad,29, Female
 Private, HS-grad,50, Female
 Private, HS-grad,18, Male
 Private, Bachelors,74, Female
 Private, 9th,22, Male
 Private, Bachelors,27, Male
 State-gov, Some-college,27, Female
 Private, Prof-school,41, Male
 Private, Some-college,24, Male
 Private, HS-grad,23, Female
 Self-emp-not-inc, Prof-school,34, Male
 State-gov, Bachelors,46, Male
 Private, Prof-school,32, Male
 Private, HS-grad,41, Male
 Private, Assoc-voc,29, Male
 Private, 9th,48, Female
 Private, HS-grad,51, Male
 State-gov, 12th,34, Female
 Private, Bachelors,58, Male
 Private, HS-grad,52, Male
 Self-emp-not-inc, Bachelors,37, Male
 Private, Some-college,53, Female
 Private, Assoc-voc,54, Male
 Private, HS-grad,36, Male
 Private, Assoc-voc,25, Female
 Private, Some-college,20, Female
 Private, Assoc-acdm,23, Male
 Self-emp-inc, Bachelors,39, Male
 Self-emp-not-inc, 10th,20, Male
 Private, Assoc-voc,28, Male
 State-gov, HS-grad,73, Female
 Private, HS-grad,67, Male
 Private, Bachelors,56, Male
 Private, Assoc-voc,32, Male
 Private, Some-college,42, Male
 Private, HS-grad,33, Male
 Private, HS-grad,37, Male
 Private, Some-college,33, Male
 Private, 10th,31, Female
 Private, Masters,59, Male
 Private, HS-grad,21, Male
 Self-emp-inc, Some-college,58, Male
 Local-gov, 10th,24, Male
 State-gov, Some-college,26, Male
 Private, 11th,26, Male
 Local-gov, Masters,33, Female
 Private, Bachelors,25, Male
 Private, 10th,21, Male
 Private, HS-grad,24, Male
 Self-emp-not-inc, Assoc-acdm,39, Female
 Private, Some-college,68, Female
 Self-emp-not-inc, Some-college,66, Female
 Private, Bachelors,38, Male
 Private, Masters,41, Male
 ?, 7th-8th,71, Female
 Private, HS-grad,37, Male
 Self-emp-not-inc, Masters,54, Male
 State-gov, Bachelors,27, Male
 Private, Bachelors,49, Female
 State-gov, Some-college,19, Male
 Private, Some-college,25, Male
 Federal-gov, Some-college,47, Male
 Private, Some-college,40, Male
 Private, Bachelors,38, Male
 Private, HS-grad,25, Male
 Private, Some-college,25, Female
 Private, 10th,23, Male
 Private, Masters,28, Female
 Private, HS-grad,29, Male
 Private, 11th,32, Male
 Private, HS-grad,34, Female
 Private, Bachelors,52, Male
 Self-emp-not-inc, HS-grad,33, Male
 Private, Some-college,19, Male
 Private, Doctorate,68, Male
 Private, 10th,41, Male
 Self-emp-inc, HS-grad,18, Female
 Private, Some-college,29, Male
 Private, Masters,40, Male
 Self-emp-not-inc, Masters,51, Male
 Private, Some-college,49, Male
 State-gov, Some-college,20, Female
 Local-gov, HS-grad,38, Male
 Private, 5th-6th,57, Male
 Private, Some-college,35, Male
 Private, 11th,66, Male
 ?, Bachelors,27, Male
 Private, Assoc-voc,25, Female
 ?, Masters,77, Male
 ?, 10th,19, Female
 Private, HS-grad,70, Male
 Self-emp-not-inc, 7th-8th,59, Male
 Private, Bachelors,25, Male
 Local-gov, Prof-school,44, Male
 Private, Masters,37, Male
 ?, 10th,75, Female
 ?, HS-grad,21, Female
 Private, HS-grad,21, Female
 Federal-gov, HS-grad,47, Male
 Private, HS-grad,20, Female
 State-gov, HS-grad,32, Male
 Private, HS-grad,28, Female
 Private, HS-grad,53, Male
 ?, HS-grad,19, Male
 Private, Some-college,58, Female
 Private, HS-grad,22, Female
 Private, 11th,23, Male
 Private, HS-grad,21, Male
 Private, HS-grad,36, Male
 Private, Some-college,39, Female
 Local-gov, Bachelors,34, Female
 Local-gov, Masters,41, Female
 Private, Bachelors,72, Male
 Private, HS-grad,34, Female
 Local-gov, Bachelors,51, Male
 Self-emp-not-inc, Assoc-voc,32, Male
 Private, Some-college,38, Female
 Private, Some-college,37, Male
 ?, Some-college,21, Male
 Private, Some-college,21, Female
 Private, Some-college,26, Male
 Private, Some-college,34, Male
 Private, Some-college,18, Female
 Private, 11th,27, Female
 Private, Some-college,20, Female
 Private, Assoc-voc,36, Male
 ?, Bachelors,31, Male
 Private, Bachelors,32, Male
 Private, HS-grad,54, Male
 Local-gov, Masters,34, Female
 Private, Some-college,46, Male
 Private, 11th,33, Male
 Private, Bachelors,32, Male
 Private, Assoc-voc,42, Male
 Private, HS-grad,30, Male
 Private, Some-college,37, Male
 Private, HS-grad,28, Male
 Private, Bachelors,25, Male
 Self-emp-not-inc, Some-college,44, Male
 Private, HS-grad,40, Male
 Private, Some-college,36, Male
 Private, Some-college,21, Male
 State-gov, Doctorate,39, Male
 Private, Bachelors,24, Male
 Private, HS-grad,46, Male
 ?, Bachelors,47, Male
 Private, Bachelors,47, Male
 Private, Prof-school,35, Male
 Self-emp-not-inc, 7th-8th,60, Male
 Private, Bachelors,35, Female
 Private, HS-grad,33, Female
 Private, Assoc-acdm,21, Female
 Private, Bachelors,37, Male
 Federal-gov, HS-grad,48, Male
 Private, 7th-8th,58, Female
 Private, HS-grad,21, Female
 Private, HS-grad,22, Male
 Private, HS-grad,22, Female
 Self-emp-not-inc, Masters,28, Female
 ?, Assoc-voc,33, Female
 Federal-gov, HS-grad,23, Male
 State-gov, HS-grad,58, Male
 ?, Bachelors,24, Male
 Local-gov, Bachelors,38, Male
 Private, HS-grad,49, Male
 Private, Bachelors,47, Male
 Private, Bachelors,50, Male
 Private, HS-grad,21, Female
 Private, HS-grad,55, Female
 Private, 11th,47, Male
 Private, HS-grad,19, Female
 Private, HS-grad,47, Male
 Private, 11th,36, Male
 Local-gov, Assoc-acdm,28, Male
 Private, HS-grad,42, Female
 Private, Masters,41, Female
 Private, Bachelors,46, Male
 Private, HS-grad,32, Male
 Private, 10th,34, Female
 Private, 7th-8th,33, Male
 State-gov, Bachelors,60, Male
 Private, HS-grad,53, Male
 Private, Bachelors,24, Female
 Federal-gov, Some-college,39, Male
 Private, Some-college,23, Male
 Private, Bachelors,50, Male
 Local-gov, HS-grad,36, Female
 Private, 12th,19, Female
 Private, HS-grad,26, Female
 Private, HS-grad,38, Male
 Private, Bachelors,41, Male
 Private, Some-college,22, Female
 Private, Assoc-acdm,38, Female
 ?, Some-college,72, Male
 Private, HS-grad,39, Male
 State-gov, HS-grad,35, Male
 Local-gov, Some-college,38, Female
 Private, HS-grad,19, Female
 Private, HS-grad,26, Male
 Private, Bachelors,52, Male
 Private, 5th-6th,41, Male
 Private, HS-grad,45, Female
 Federal-gov, Some-college,58, Male
 Private, Bachelors,34, Male
 Private, HS-grad,36, Male
 Without-pay, HS-grad,19, Male
 State-gov, 11th,26, Female
 Private, 10th,60, Male
 Self-emp-not-inc, HS-grad,35, Male
 Private, 10th,39, Female
 Private, HS-grad,27, Female
 Federal-gov, Masters,26, Male
 Private, 12th,17, Male
 Self-emp-not-inc, HS-grad,59, Male
 Local-gov, HS-grad,53, Male
 Private, 11th,35, Male
 Local-gov, Some-college,34, Male
 Private, HS-grad,36, Male
 Private, HS-grad,36, Male
 Private, HS-grad,21, Male
 Private, Some-college,29, Female
 Private, Bachelors,35, Male
 Self-emp-not-inc, Bachelors,59, Male
 Private, Some-college,22, Male
 Local-gov, Masters,50, Male
 Federal-gov, Bachelors,24, Female
 Private, Bachelors,36, Female
 Private, HS-grad,31, Female
 Self-emp-not-inc, Some-college,42, Male
 Private, 7th-8th,38, Female
 Private, HS-grad,52, Male
 Private, 10th,46, Male
 Private, Some-college,23, Male
 Private, 5th-6th,54, Male
 Private, HS-grad,27, Female
 Private, Bachelors,42, Female
 State-gov, HS-grad,33, Male
 Private, Assoc-acdm,19, Female
 Private, 11th,59, Female
 Private, HS-grad,54, Female
 Private, 7th-8th,48, Male
 ?, Some-college,19, Male
 Private, HS-grad,45, Female
 Private, Bachelors,36, Male
 Self-emp-not-inc, Assoc-acdm,35, Male
 Private, Some-college,47, Female
 Private, Bachelors,33, Male
 Self-emp-not-inc, Bachelors,48, Male
 Private, HS-grad,42, Female
 Private, Some-college,19, Male
 Self-emp-inc, Bachelors,64, Male
 Self-emp-not-inc, Bachelors,51, Male
 Federal-gov, HS-grad,20, Male
 Private, HS-grad,28, Male
 Private, Masters,52, Male
 Self-emp-not-inc, Some-college,29, Male
 Private, Bachelors,51, Male
 Private, HS-grad,36, Male
 Private, Bachelors,43, Male
 Private, Some-college,52, Male
 Private, HS-grad,50, Male
 Private, Some-college,25, Male
 Private, Assoc-acdm,36, Female
 Private, Some-college,44, Female
 Private, 10th,47, Male
 Private, HS-grad,32, Male
 Private, Masters,37, Male
 Private, HS-grad,40, Male
 Self-emp-not-inc, HS-grad,34, Male
 Self-emp-inc, Some-college,35, Male
 Private, Some-college,26, Male
 Self-emp-not-inc, Bachelors,49, Male
 ?, Bachelors,63, Male
 Self-emp-not-inc, Bachelors,46, Male
 Local-gov, Some-college,31, Male
